model,g_avail,J_ATP,J_ATP_glyc,J_ATP_resp,frac_glyc,phi_G,phi_R,phenotype,eps_ratio,organism
Model A (Shen LP),0.012500916387959868,0.0497125046229918,0.022942610121997064,0.02676989450099474,0.46150581822397685,0.04987523939564579,0.21012476060435434,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.013000913043478262,0.05045128244451739,0.02396437139049312,0.02648691105402427,0.4750002423991377,0.05209645954455026,0.20790354045544954,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.013500909698996656,0.051190060266043017,0.02498613265898917,0.026203927607053843,0.4881051620008299,0.05431767969345472,0.2056823203065451,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.014000906354515051,0.051928838087568596,0.026007893927485228,0.02592094416008337,0.5008372011641704,0.056538899842359186,0.2034611001576403,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.014500903010033447,0.052667615909094315,0.027029655195981276,0.025637960713113035,0.5132120512657183,0.05876011999126364,0.20123988000873655,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.015000899665551841,0.05340639373061985,0.028051416464477334,0.02535497726614252,0.5252445354383557,0.060981340140168115,0.1990186598598314,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.015500896321070235,0.054145171552145516,0.029073177732973382,0.025071993819172137,0.5369486678045505,0.06320256028907256,0.1967974397109273,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.016000892976588632,0.05488394937367115,0.03009493900146944,0.02478901037220171,0.5483377079257081,0.06542378043797704,0.19457621956202284,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.016500889632107028,0.05562272719519674,0.0311167002699655,0.02450602692523124,0.5594242109123437,0.06764500058688151,0.19235499941311804,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.017000886287625423,0.05636150501672245,0.032138461538461546,0.024223043478260903,0.5702200735932454,0.06986622073578597,0.19013377926421432,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.017500882943143815,0.05710028283824807,0.033160222806957594,0.023940060031290476,0.5807365771005523,0.07208744088469042,0.18791255911530988,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.01800087959866221,0.057839060659773615,0.034181984075453656,0.02365707658431996,0.5909844261911885,0.0743086610335949,0.18569133896640472,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.018500876254180607,0.058577838481299244,0.03520374534394971,0.023374093137349533,0.600973785592795,0.07652988118249937,0.18347011881750028,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.019000872909699,0.059316616302824865,0.03622550661244576,0.023091109690379107,0.6107143136335741,0.07875110133140382,0.1812488986685958,mixed,0.2769565217391305,ecoli
